runs_scored,overs_remaining,bowling_team,batting_team,date,venue,id,wickets_remaining
4,20,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,10
15,19,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,10
6,18,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
4,17,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
9,16,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
17,15,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
5,14,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
11,13,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
9,12,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
4,11,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
10,10,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,9
8,9,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,8
17,8,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,8
8,7,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,8
19,6,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,8
4,5,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,8
7,4,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,7
15,3,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,7
12,2,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,7
16,1,Royal Challengers Bangalore,Sunrisers Hyderabad,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",1082591,6
10,20,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,10
8,19,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,10
9,18,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,10
13,17,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,10
7,16,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,10
13,15,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,9
2,14,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,9
3,13,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,7
10,12,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,7
6,11,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,7
8,10,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,7
3,9,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,7
9,8,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,6
5,7,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,6
9,6,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,5
7,5,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,5
10,4,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,4
7,3,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,4
9,2,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,4
28,1,Rising Pune Supergiant,Mumbai Indians,2017-04-06,Maharashtra Cricket Association Stadium,1082592,3
8,20,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,10
7,19,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,10
6,18,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,10
7,17,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,10
11,16,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,9
12,15,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,9
12,14,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,9
7,13,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,9
4,12,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,9
15,11,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,8
4,10,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,8
7,9,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,7
7,8,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,7
7,7,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,7
9,6,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,7
5,5,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,7
11,4,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,7
11,3,Kolkata Knight Riders,Gujarat Lions,2017-04-07,Saurashtra Cricket Association Stadium,1082593,7
